,full_name,selling_price,year,km_driven,mileage,engine,max_power,seats,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual,company
0,Maruti Alto Std,120000,2012,120000,19.7,796,46.3,5,1,0,0,0,0,1,1,Maruti
1,Hyundai Grand i10 Asta,550000,2016,20000,18.9,1197,82,5,1,0,0,0,0,1,1,Hyundai
2,Hyundai i20 Asta,215000,2010,60000,17,1197,80,5,1,0,0,0,0,1,1,Hyundai
3,Maruti Alto K10 2010-2014 VXI,225999,2012,37000,20.92,998,67.1,5,1,0,0,0,0,1,1,Maruti
4,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,570000,2015,30000,22.77,1498,98.59,5,0,0,1,0,0,0,1,Ford
5,Maruti Wagon R VXI BS IV,350000,2013,35000,18.9,998,67.1,5,1,0,0,0,0,1,1,Maruti
6,Hyundai i10 Sportz 1.2,315000,2013,40000,20.36,1197,78.9,5,0,0,0,0,0,1,1,Hyundai
7,Maruti Wagon R VXI,409999,2018,17512,20.51,998,67.04,5,0,0,0,0,0,1,1,Maruti
8,Hyundai Venue SX Plus Turbo DCT BSIV,1050000,2019,20000,18.15,998,118.35,5,1,0,0,0,0,1,0,Hyundai
9,Mahindra TUV 300 T6,575000,2017,70000,18.49,1493,100,7,0,0,1,0,0,0,1,Mahindra
10,Tata Indigo LX (TDI) BS-III,305000,2015,50000,19.09,1405,69.01,5,1,0,1,0,0,0,1,Tata
11,Renault Captur Platine Dual Tone Diesel,1150000,2019,18000,20.37,1461,108.49,5,1,0,1,0,0,0,1,Renault
12,Maruti Swift VXI with ABS,511000,2017,28321,16.6,1197,85,5,0,0,0,0,0,1,1,Maruti
13,Nissan Micra XL CVT,409999,2016,27000,19.34,1198,76,5,0,0,0,0,0,1,0,Nissan
14,Hyundai Verna 1.6 SX,425000,2013,65278,22.32,1582,126.32,5,0,0,1,0,0,0,1,Hyundai
15,Renault Duster 110PS Diesel RxL Explore,750000,2016,50000,19.64,1461,108.45,5,1,0,1,0,0,0,1,Renault
16,Mini Cooper Cooper S,3250000,2017,6000,14.41,1998,189.08,5,0,0,0,0,0,1,0,Mini
17,Maruti Ciaz ZDi Plus SHVS,650000,2016,76000,28.09,1248,88.5,5,0,0,1,0,0,0,1,Maruti
18,Maruti Swift VDI BSIV,627000,2016,20000,25.2,1248,74,5,1,0,1,0,0,0,1,Maruti
19,Mercedes-Benz C-Class C 220 CDI Avantgarde,1425000,2014,65000,19.27,2143,170,5,0,0,1,0,0,0,0,Mercedes-Benz
20,Maruti Swift VDI,425000,2014,62200,28.4,1248,74,5,0,0,1,0,0,0,1,Maruti
21,Toyota Innova 2.5 GX (Diesel) 8 Seater,605000,2013,110000,12.99,2494,100.6,8,1,0,1,0,0,0,1,Toyota
22,Maruti Baleno Zeta 1.2,600000,2015,20000,21.4,1197,83.1,5,1,0,0,0,0,1,1,Maruti
23,Maruti Swift Dzire VXI,575000,2016,40000,20.85,1197,83.14,5,1,0,0,0,0,1,1,Maruti
24,Fiat Grande Punto 1.3 Emotion Pack (Diesel),260000,2012,97000,17.8,1248,76,5,1,0,1,0,0,0,1,Fiat
25,Volkswagen Vento 1.6 Comfortline BSIV,425000,2013,47000,16.09,1598,103.2,5,0,0,0,0,0,1,1,Volkswagen
26,Maruti Alto K10 2010-2014 VXI,229999,2013,25000,20.92,998,67.1,5,0,0,0,0,0,1,1,Maruti
27,Hyundai Creta 1.6 CRDi SX,1225000,2019,15000,19.67,1582,126.2,5,1,0,1,0,0,0,1,Hyundai
28,Mahindra Xylo H9,375000,2010,56823,14.02,2179,118.3,8,0,0,1,0,0,0,1,Mahindra
29,Honda City i VTEC VX,750000,2015,50000,17.4,1497,117.3,5,1,0,0,0,0,1,1,Honda
30,Mahindra Bolero SLE BSIII,350000,2011,25000,13.6,2523,63,7,1,0,1,0,0,0,1,Mahindra
31,Maruti Swift Dzire VDI,600000,2015,90000,26.59,1248,74,5,1,0,1,0,0,0,1,Maruti
32,Maruti Swift Dzire LDI,390000,2013,45000,26.59,1248,74,5,0,0,1,0,0,0,1,Maruti
33,Honda City 2017-2020 GXi,145000,2007,77253,17.7,1497,78,5,0,0,0,0,0,1,1,Honda
34,Hyundai i20 Active 1.2 SX,700000,2018,25000,17.19,1197,81.86,5,1,0,0,0,0,1,1,Hyundai
35,Toyota Fortuner 4x2 Manual,1150000,2013,110000,13,2982,168.5,7,1,0,1,0,0,0,1,Toyota
36,Renault KWID Climber 1.0 MT,340000,2017,30000,23.01,999,67,5,1,0,0,0,0,1,1,Renault
37,Honda Amaze S Petrol,465000,2016,39993,18.6,1199,88.76,5,0,0,0,0,0,1,1,Honda
38,Hyundai Santro Xing GLS,125000,2009,80000,17.92,1086,62.1,5,1,0,0,0,0,1,1,Hyundai
39,Mahindra XUV500 W8 2WD,600000,2012,185000,15.1,2179,140,7,1,0,1,0,0,0,1,Mahindra
40,Maruti Swift Dzire VDI,380000,2013,90000,23.4,1248,74,5,1,0,1,0,0,0,1,Maruti
41,Mahindra Xylo E8,400000,2009,60000,14,2498,112,8,1,0,1,0,0,0,1,Mahindra
42,Chevrolet Sail 1.3 Base,300000,2014,90000,22.1,1248,74,5,1,0,1,0,0,0,1,Chevrolet
43,Hyundai Xcent 1.2 Kappa SX,500000,2015,20000,19.1,1197,82,5,1,0,0,0,0,1,1,Hyundai
44,Hyundai i20 1.4 Asta Option,850000,2018,15000,22.54,1396,88.73,5,1,0,1,0,0,0,1,Hyundai
45,Hyundai i20 1.2 Magna Executive,598000,2018,40000,18.6,1197,81.83,5,1,0,0,0,0,1,1,Hyundai
46,Honda City i VTEC CVT SV,700000,2015,31180,18,1497,117.3,5,0,0,0,0,0,1,0,Honda
47,Mahindra TUV 300 mHAWK100 T8 AMT,900000,2018,40000,18.49,1493,100,7,1,0,1,0,0,0,0,Mahindra
48,Maruti 800 Std,75000,2004,50000,16.1,796,37,4,1,0,0,0,0,1,1,Maruti
49,Tata Indigo LS TDI BSIII,300000,2015,58000,19.09,1396,69,5,1,0,1,0,0,0,1,Tata
50,Maruti Swift Dzire ZDI,409999,2014,56000,23.4,1248,74,5,0,0,1,0,0,0,1,Maruti
51,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),300000,2011,93000,20.5,1248,91.7,5,1,0,1,0,0,0,1,Fiat
52,Ambassador Avigo 1800 ISZ MPFI AC,225000,2010,86000,12.2,1817,75,5,0,0,0,0,0,1,1,Ambassador
53,Maruti Swift VDI BSIV,300000,2011,120000,17.8,1248,74.34109969,5,1,0,1,0,0,0,1,Maruti
54,Maruti Baleno Zeta Automatic,590000,2016,52427,21.4,1197,83.1,5,0,0,0,0,0,1,0,Maruti
55,Mahindra Bolero B6,850000,2020,40000,21,1498,74.96,7,1,0,1,0,0,0,1,Mahindra
56,Tata Nano Cx BSIV,108000,2011,70000,26,624,35,4,1,0,0,0,0,1,1,Tata
57,Mahindra KUV100 NXT G80 K8 5Str BSIV,550000,2018,17000,18.15,1198,82,5,1,0,0,0,0,1,1,Mahindra
58,Toyota Etios G,325000,2012,54325,17.6,1496,88.73,5,0,0,0,0,0,1,1,Toyota
59,Maruti Baleno Vxi - BSIII,625000,2016,22000,15.4,1590,94,5,0,0,0,0,0,1,1,Maruti
60,Maruti Swift Dzire ZXI,600000,2016,54000,20.85,1197,83.14,5,1,0,0,0,0,1,1,Maruti
61,Maruti Wagon R LXI Optional,445000,2019,10000,20.51,998,67.04,5,1,0,0,0,0,1,1,Maruti
62,Maruti Ignis 1.2 Delta BSIV,530000,2019,20000,20.89,1197,81.8,5,1,0,0,0,0,1,1,Maruti
63,Toyota Corolla Altis GL,385000,2011,61000,14.53,1798,138.1,5,0,0,0,0,0,1,1,Toyota
64,Maruti Wagon R LXI CNG,409999,2018,53237,26.6,998,58.16,5,0,1,0,0,0,0,1,Maruti
65,Datsun RediGO Gold 1.0,350000,2018,27263,22.5,999,68,5,1,0,0,0,0,1,1,Datsun
66,Tata Indigo eLX BS IV,265000,2014,90000,25,1396,69.01,5,1,0,1,0,0,0,1,Tata
67,Hyundai Verna 1.6 CRDI,520000,2014,110000,22.32,1582,126.3,5,1,0,1,0,0,0,1,Hyundai
68,Hyundai i20 Asta Option 1.4 CRDi,750000,2016,70000,22.54,1396,88.73,5,1,0,1,0,0,0,1,Hyundai
69,Maruti Swift Dzire VDI,560000,2017,70000,26.59,1248,74,5,1,0,1,0,0,0,1,Maruti
70,Tata Vista TDI LS,200000,2014,190000,19.1,1405,70,5,1,0,1,0,0,0,1,Tata
71,Hyundai Xcent 1.2 CRDi SX,600000,2017,40000,25.4,1186,73.97,5,1,0,1,0,0,0,1,Hyundai
72,Hyundai i20 1.2 Spotz,655000,2019,39000,18.6,1197,81.83,5,0,0,0,0,0,1,1,Hyundai
73,Hyundai Santro Xing XE,125000,2007,56000,17.8,1086,63,5,0,0,0,0,0,1,1,Hyundai
74,Toyota Corolla Altis 1.8 VL AT,425000,2009,58000,14.53,1794,138.1,5,0,0,0,0,0,1,0,Toyota
75,Maruti Omni E MPI STD BS IV,220000,2017,40000,16.8,796,34.2,8,1,0,0,0,0,1,1,Maruti
76,Hyundai i20 1.2 Spotz,550000,2018,34000,18.6,1197,81.83,5,1,0,0,0,0,1,1,Hyundai
77,Mahindra Scorpio 1.99 S10,1150000,2017,50000,15.4,1997,120,7,1,0,1,0,0,0,1,Mahindra
78,Volkswagen Vento Diesel Highline,500000,2012,77400,20.54,1598,103.6,5,1,0,1,0,0,0,1,Volkswagen
79,Mahindra Marazzo M2 BSIV,990000,2019,36000,17.3,1497,121,7,1,0,1,0,0,0,1,Mahindra
80,Hyundai Verna SX Opt Diesel,551000,2013,47876,25,1493,113.42,5,0,0,1,0,0,0,1,Hyundai
81,Mahindra XUV500 W11 Option AT BSIV,1650000,2018,21500,15.1,2179,152.87,7,1,0,1,0,0,0,0,Mahindra
82,Hyundai Grand i10 CRDi Magna,350000,2015,75000,24,1120,70,5,0,0,1,0,0,0,1,Hyundai
83,Ford Aspire 1.2 Ti-VCT Titanium,500000,2017,58000,18.16,1196,86.8,5,0,0,0,0,0,1,1,Ford
84,Maruti Swift Dzire VXI 1.2,575000,2018,30000,21.21,1197,81.8,5,1,0,0,0,0,1,1,Maruti
85,Hyundai Grand i10 1.2 CRDi Asta,545000,2018,50000,24,1186,73.97,5,1,0,1,0,0,0,1,Hyundai
86,Ford Figo 1.2P Titanium MT,525000,2017,19093,18.16,1196,86.8,5,0,1,0,0,0,1,1,Ford
87,Honda Amaze E i-Vtech,400000,2014,50000,18,1198,86.7,5,1,0,0,0,0,1,1,Honda
88,Maruti Wagon R LXI BSIII,155000,2006,37000,14,1061,64,5,0,0,0,0,0,1,1,Maruti
89,Mahindra Supro VX 8 Str,540000,2019,3888,23.5,909,45,8,1,0,1,0,0,0,1,Mahindra
90,Maruti Swift Dzire VDI,545000,2016,47000,26.59,1248,74,5,0,0,1,0,0,0,1,Maruti
91,Honda City V MT,545000,2013,70000,16.8,1497,116.3,5,1,0,0,0,0,1,1,Honda
92,Renault KWID RXL,240000,2016,25000,25.17,799,53.3,5,1,0,0,0,0,1,1,Renault
93,Maruti Vitara Brezza LDi Option,725000,2018,26000,24.3,1248,88.5,5,0,0,1,0,0,0,1,Maruti
94,Ford Aspire 1.2 Ti-VCT Titanium Opt,480000,2017,30000,18.16,1196,86.8,5,1,0,0,0,0,1,1,Ford
95,Hyundai i20 Magna Optional 1.2,375000,2013,15000,18.5,1197,82.9,5,1,0,0,0,0,1,1,Hyundai
96,Maruti Swift VDi BSIII W/ ABS,225000,2011,160000,17.8,1248,75,5,1,0,1,0,0,0,1,Maruti
97,Tata Tiago 1.2 Revotron XZ,400000,2017,32100,23.84,1199,84,5,1,0,0,0,0,1,1,Tata
98,Hyundai i20 Magna Optional 1.2,550000,2016,22000,18.5,1197,82.9,5,0,0,0,0,0,1,1,Hyundai
99,Mahindra Scorpio S10 7 Seater,1050000,2016,44000,15.4,2179,120,7,0,0,1,0,0,0,1,Mahindra
100,Volkswagen Polo 1.2 MPI Trendline,450000,2016,78000,18.78,1198,74,5,0,0,0,0,0,1,1,Volkswagen
101,Mercedes-Benz C-Class C 200 CGI Elegance,775000,2012,74352,11.74,1796,186,5,0,0,0,0,0,1,0,Mercedes-Benz
102,Maruti Wagon R VXI,350000,2014,37000,20.51,998,67.04,5,1,0,0,0,0,1,1,Maruti
103,Honda City i DTEC VX Option,550000,2014,69000,25.1,1498,98.6,5,0,0,1,0,0,0,1,Honda
104,Kia Seltos HTK Plus G,1080000,2019,12120,16.8,1497,113.4,5,1,0,0,0,0,1,1,Kia
105,Maruti Baleno Delta,575000,2016,52000,21.01,1197,81.8,5,0,0,0,0,0,1,1,Maruti
106,Toyota Innova 2.5 G (Diesel) 8 Seater,950000,2016,120000,12.99,2494,100.6,8,1,0,1,0,0,0,1,Toyota
107,Maruti Alto 800 LXI,229999,2013,55000,22.74,796,47.3,5,1,0,0,0,0,1,1,Maruti
108,Hyundai i20 1.4 CRDi Magna,270000,2011,160000,21.9,1396,90,5,1,0,1,0,0,0,1,Hyundai
109,Chevrolet Beat Diesel LS,165000,2012,42000,25.44,936,56.3,5,0,0,1,0,0,0,1,Chevrolet
110,Ford Figo Petrol EXI,130000,2011,40000,15.6,1196,70,5,1,0,0,0,0,1,1,Ford
111,Maruti Swift Dzire VXI,370000,2012,46000,19.1,1197,85.8,5,0,0,0,0,0,1,1,Maruti
112,Maruti Baleno Delta 1.2,570000,2017,25000,21.4,1197,83.1,5,0,0,0,0,0,1,1,Maruti
113,Toyota Etios GD,390000,2015,240000,23.59,1364,67.05,5,1,0,1,0,0,0,1,Toyota
114,Volkswagen Polo Diesel Comfortline 1.2L,365000,2013,90000,22.07,1199,73.9,5,0,0,1,0,0,0,1,Volkswagen
