,full_name,selling_price,year,km_driven,fuel_type,transmission_type,company
0,Maruti Alto Std,120000,2012,120000,Petrol,Manual,Maruti
1,Hyundai Grand i10,550000,2016,20000,Petrol,Manual,Hyundai
2,Hyundai i20 Asta,215000,2010,60000,Petrol,Manual,Hyundai
3,Maruti Alto K10,225999,2012,37000,Petrol,Manual,Maruti
4,Ford Ecosport 2015-2021,570000,2015,30000,Diesel,Manual,Ford
5,Maruti Wagon R,350000,2013,35000,Petrol,Manual,Maruti
6,Hyundai i10 Sportz,315000,2013,40000,Petrol,Manual,Hyundai
7,Maruti Wagon R,409999,2018,17512,Petrol,Manual,Maruti
8,Hyundai Venue SX,1050000,2019,20000,Petrol,Automatic,Hyundai
9,Mahindra TUV 300,575000,2017,70000,Diesel,Manual,Mahindra
10,Tata Indigo LX,305000,2015,50000,Diesel,Manual,Tata
11,Renault Captur Platine,1150000,2019,18000,Diesel,Manual,Renault
12,Maruti Swift VXI,511000,2017,28321,Petrol,Manual,Maruti
13,Nissan Micra XL,409999,2016,27000,Petrol,Automatic,Nissan
14,Hyundai Verna 1.6,425000,2013,65278,Diesel,Manual,Hyundai
15,Renault Duster 110PS,750000,2016,50000,Diesel,Manual,Renault
16,Mini Cooper Cooper,3250000,2017,6000,Petrol,Automatic,Mini
17,Maruti Ciaz ZDi,650000,2016,76000,Diesel,Manual,Maruti
18,Maruti Swift VDI,627000,2016,20000,Diesel,Manual,Maruti
19,Mercedes-Benz C-Class C,1425000,2014,65000,Diesel,Automatic,Mercedes-Benz
20,Maruti Swift VDI,425000,2014,62200,Diesel,Manual,Maruti
21,Toyota Innova 2.5,605000,2013,110000,Diesel,Manual,Toyota
22,Maruti Baleno Zeta,600000,2015,20000,Petrol,Manual,Maruti
23,Maruti Swift Dzire,575000,2016,40000,Petrol,Manual,Maruti
24,Fiat Grande Punto,260000,2012,97000,Diesel,Manual,Fiat
25,Volkswagen Vento 1.6,425000,2013,47000,Petrol,Manual,Volkswagen
26,Maruti Alto K10,229999,2013,25000,Petrol,Manual,Maruti
27,Hyundai Creta 1.6,1225000,2019,15000,Diesel,Manual,Hyundai
28,Mahindra Xylo H9,375000,2010,56823,Diesel,Manual,Mahindra
29,Honda City i,750000,2015,50000,Petrol,Manual,Honda
30,Mahindra Bolero SLE,350000,2011,25000,Diesel,Manual,Mahindra
31,Maruti Swift Dzire,600000,2015,90000,Diesel,Manual,Maruti
32,Maruti Swift Dzire,390000,2013,45000,Diesel,Manual,Maruti
33,Honda City 2017-2020,145000,2007,77253,Petrol,Manual,Honda
34,Hyundai i20 Active,700000,2018,25000,Petrol,Manual,Hyundai
35,Toyota Fortuner 4x2,1150000,2013,110000,Diesel,Manual,Toyota
36,Renault KWID Climber,340000,2017,30000,Petrol,Manual,Renault
37,Honda Amaze S,465000,2016,39993,Petrol,Manual,Honda
38,Hyundai Santro Xing,125000,2009,80000,Petrol,Manual,Hyundai
39,Mahindra XUV500 W8,600000,2012,185000,Diesel,Manual,Mahindra
40,Maruti Swift Dzire,380000,2013,90000,Diesel,Manual,Maruti
41,Mahindra Xylo E8,400000,2009,60000,Diesel,Manual,Mahindra
42,Chevrolet Sail 1.3,300000,2014,90000,Diesel,Manual,Chevrolet
